COMISI?ÙN NACIONAL DEL AGUA,,,,,
14/02/2000,0,7.84,29,8,
15/02/2000,0,5.8,29,9,
16/02/2000,0,6.05,29,9,
17/02/2000,0,6.99,30,9,
18/02/2000,0,7.26,29,9,
19/02/2000,0,5.95,28,10,
20/02/2000,0,5.97,24,10,
21/02/2000,0,3.54,28,9,
22/02/2000,0,4.52,28,7,
23/02/2000,0,5.76,29,9,
24/02/2000,0,7.22,29,11,
25/02/2000,0,6.94,29,9,
26/02/2000,0,6.25,28,9,
27/02/2000,0,5.68,29,10,
28/02/2000,0,6.19,30,10,
1/3/2000,0,7.03,29,10,
2/3/2000,0,4.9,28,11,
3/3/2000,0,4.7,27,9,
4/3/2000,0,6.18,27,10,
5/3/2000,0,6.51,29,7,
6/3/2000,0,7.26,28,10,
7/3/2000,0,4.11,27,9,
8/3/2000,0,6.13,29,9,
9/3/2000,0,5.74,28,9,
10/3/2000,0,5.39,29,8,
11/3/2000,0,5.94,29,7,
12/3/2000,0,5.8,29,8,
13/03/2000,0,5.64,28,11,
14/03/2000,0,5.35,27,9,
15/03/2000,0,4.87,29,9,
16/03/2000,0,5.69,28,10,
17/03/2000,0,5.52,28,9,
18/03/2000,0,4.75,28,9,
19/03/2000,0,5.96,27,9,
20/03/2000,0,5.38,29,8,
21/03/2000,0,5.69,29,8,
22/03/2000,0,4.98,30,9,
23/03/2000,0,5.96,30,12,
24/03/2000,0,6.83,30,12,
25/03/2000,0,6.81,31,12,
26/03/2000,0,7.03,31,13,
27/03/2000,0,6.04,32,13,
28/03/2000,0,7.02,32,11,
29/03/2000,0,6.76,31,12,
30/03/2000,0,6.69,32,12,
31/03/2000,0,7.52,33,13,
1/4/2000,0,6.03,33,12,
2/4/2000,0,5.93,32,12,
3/4/2000,0,4.93,31,12,
4/4/2000,0,5.02,29,12,
5/4/2000,0,5.92,30,10,
6/4/2000,0,5.82,30,10,
7/4/2000,0,5.87,30,10,
8/4/2000,0,6.9,30,11,
9/4/2000,0,6.23,27,11,
10/4/2000,0,8.34,30,12,
11/4/2000,0,7.19,31,12,
12/4/2000,0,8.27,30,13,
13/04/2000,1.1,6.96,30,11,
14/04/2000,0,7.93,31,12,
15/04/2000,0,7.03,31,12,
16/04/2000,0,6.96,32,11,
17/04/2000,0,7.65,33,12,
18/04/2000,0,7.71,34,13,
19/04/2000,0,9.52,34,11,
20/04/2000,0,8.95,34,12,
21/04/2000,0,8.94,33,13,
22/04/2000,0,7.77,34,14,
23/04/2000,0,8.22,35,14,
24/04/2000,0,8.14,34,13,
25/04/2000,0,8.98,34,14,
26/04/2000,0,8.77,35,14,
27/04/2000,0,8.87,34,14,
28/04/2000,0,9.21,31,13,
29/04/2000,0,7.95,32,14,
30/04/2000,0,7.56,34,14,
1/5/2000,0,NULO,34,12,
2/5/2000,0,NULO,31,14,
3/5/2000,0,NULO,32,15,
4/5/2000,0,NULO,31,14,
5/5/2000,0,NULO,29,13,
6/5/2000,0,NULO,32,12,
7/5/2000,0.2,NULO,32,12,
8/5/2000,0,NULO,33,14,
9/5/2000,0,NULO,34,14,
10/5/2000,0,NULO,34,14,
11/5/2000,0,NULO,34,14,
12/5/2000,0,NULO,34,15,
13/05/2000,0,NULO,34,14,
14/05/2000,0,NULO,34,14,
15/05/2000,0,NULO,31,14,
16/05/2000,0,NULO,32,15,
17/05/2000,0,NULO,34,15,
18/05/2000,0,NULO,34,15,
19/05/2000,12.5,NULO,34,15,
20/05/2000,0,NULO,33,15,
21/05/2000,0,NULO,31,15,
22/05/2000,0,NULO,30,15,
23/05/2000,0,NULO,34,16,
24/05/2000,0.3,NULO,32,15,
25/05/2000,0,NULO,34,16,
26/05/2000,0,NULO,33,17,
27/05/2000,2.6,NULO,32,17,
28/05/2000,0,NULO,31,15,
29/05/2000,0,NULO,32,14,
30/05/2000,2.8,NULO,31,15,
31/05/2000,5.5,NULO,30,16,
1/6/2000,0,NULO,29,16,
2/6/2000,0,NULO,31,15,
3/6/2000,0,NULO,32,14,
4/6/2000,0,NULO,32,14,
5/6/2000,0,NULO,32,14,
6/6/2000,0,NULO,31,14,
7/6/2000,0,NULO,28,16,
8/6/2000,9.4,NULO,29,16,
9/6/2000,21.2,NULO,29,15,
10/6/2000,1.1,NULO,28,15,
11/6/2000,1.1,NULO,26,16,
12/6/2000,0,NULO,25,16,
13/06/2000,18.6,NULO,30,15,
14/06/2000,11.2,NULO,27,15,
15/06/2000,0,NULO,27,13,
16/06/2000,0.9,NULO,27,14,
17/06/2000,2,NULO,29,13,
18/06/2000,4.1,NULO,28,14,
19/06/2000,0,NULO,28,15,
20/06/2000,0,NULO,29,16,
21/06/2000,26.3,NULO,28,15,
22/06/2000,10.8,NULO,28,15,
23/06/2000,0,NULO,25,15,
24/06/2000,0,NULO,29,15,
25/06/2000,0,NULO,29,13,
26/06/2000,0,NULO,30,14,
27/06/2000,0,NULO,30,14,
28/06/2000,0,NULO,29,15,
29/06/2000,1,NULO,30,14,
30/06/2000,0,NULO,30,15,
1/7/2000,0,NULO,31,14,
2/7/2000,0,NULO,31,14,
3/7/2000,0,NULO,29,15,
4/7/2000,2.4,NULO,26,13,
5/7/2000,8.6,NULO,26,13,
6/7/2000,0.7,NULO,29,12,
7/7/2000,0.4,NULO,29,12,
8/7/2000,0,NULO,29,16,
9/7/2000,0,NULO,29,14,
10/7/2000,0,NULO,28,13,
11/7/2000,0,NULO,30,14,
12/7/2000,29.3,NULO,29,15,
13/07/2000,0,NULO,30,13,
14/07/2000,0,NULO,30,13,
15/07/2000,0,NULO,31,13,
16/07/2000,0,NULO,31,14,
17/07/2000,0,NULO,32,13,
18/07/2000,0,NULO,30,14,
19/07/2000,0,NULO,29,15,
20/07/2000,2.4,NULO,30,14,
21/07/2000,0,NULO,30,13,
22/07/2000,0,NULO,30,14,
23/07/2000,0,NULO,30,15,
24/07/2000,0,NULO,30,14,
25/07/2000,0,NULO,29,14,
26/07/2000,0,NULO,28,14,
27/07/2000,0,NULO,29,15,
28/07/2000,0.3,NULO,30,14,
29/07/2000,8.8,NULO,30,13,
30/07/2000,4.3,NULO,29,14,
31/07/2000,0,NULO,30,16,
1/8/2000,0,7.97,30,16,
2/8/2000,0,8.07,29,15,
3/8/2000,0,8.03,29,14,
4/8/2000,27.2,5.99,29,14,
5/8/2000,2.2,4.93,28,14,
6/8/2000,0,6.36,29,14,
7/8/2000,0,5.97,29,14,
8/8/2000,2.3,6.27,28,14,
9/8/2000,0,6.08,28,15,
10/8/2000,0,6.85,27,14,
11/8/2000,0,7.14,26,13,
12/8/2000,0,5.67,26,14,
13/08/2000,16.5,1.42,26,14,
14/08/2000,0,4.47,26,13,
15/08/2000,0,5.98,27,14,
16/08/2000,0,7.07,28,13,
17/08/2000,0,6.72,28,11,
18/08/2000,0,6.8,28,11,
19/08/2000,0,6.08,28,12,
20/08/2000,0,6.76,27,13,
21/08/2000,5.3,9.25,27,14,
22/08/2000,12,11.9,23,15,
23/08/2000,0,6.41,26,14,
24/08/2000,0,7.6,28,13,
25/08/2000,0,5.75,28,14,
26/08/2000,0,6.63,29,14,
27/08/2000,0,4.89,28,13,
28/08/2000,0,5.45,28,12,
29/08/2000,0,7.51,29,15,
30/08/2000,0,8.12,30,16,
31/08/2000,0,6.89,30,15,
1/9/2000,0,7.91,29,14,
2/9/2000,0,7.01,30,13,
3/9/2000,0,6.85,29,13,
4/9/2000,0,8.18,29,14,
5/9/2000,0,7.91,29,13,
6/9/2000,0,7.05,30,13,
7/9/2000,0,7.87,30,14,
8/9/2000,0,7.21,31,14,
9/9/2000,0,6.72,30,15,
10/9/2000,0,7.68,32,14,
11/9/2000,0,8.22,32,13,
12/9/2000,0,7.92,31,14,
13/09/2000,0,6.66,31,14,
14/09/2000,6.4,11.62,31,13,
15/09/2000,1.1,7.22,30,14,
16/09/2000,0,5.43,28,13,
17/09/2000,0,4.65,27,11,
18/09/2000,0,2.79,27,11,
19/09/2000,13.2,3.11,24,12,
20/09/2000,4.1,5.55,29,13,
21/09/2000,24.3,10.03,28,14,
22/09/2000,0,4.64,28,14,
23/09/2000,0,6.46,29,14,
24/09/2000,0,5.74,30,12,
25/09/2000,0,3.56,30,14,
26/09/2000,0,5.58,26,14,
27/09/2000,0,4.09,25,12,
28/09/2000,0,4.9,26,11,
29/09/2000,0,5.15,27,9,
30/09/2000,0,5.74,29,9,
1/10/2000,0,8.12,30,13,
2/10/2000,0,8.06,30,14,
3/10/2000,0,6.08,30,10,
4/10/2000,0,5.62,30,14,
5/10/2000,0,6.34,30,11,
6/10/2000,0,4.93,28,11,
7/10/2000,0,5.05,27,13,
8/10/2000,0,3.97,29,13,
9/10/2000,0,3.74,23,11,
10/10/2000,0,5.21,26,11,
11/10/2000,0,4.98,27,11,
12/10/2000,0,6.08,27,12,
13/10/2000,0,5.85,28,12,
14/10/2000,0,4.9,28,12,
15/10/2000,0.4,6.05,28,12,
16/10/2000,0,6.36,28,12,
17/10/2000,0,6.08,28,12,
18/10/2000,0,5.84,28,12,
19/10/2000,0,5.92,28,12,
20/10/2000,0,5.3,29,12,
21/10/2000,0,5.64,29,11,
22/10/2000,12.3,4.64,28,12,
23/10/2000,0,4.98,27,11,
24/10/2000,0,3.19,26,13,
25/10/2000,0,4.77,26,12,
26/10/2000,0,4.99,27,11,
27/10/2000,0,3.78,28,11,
28/10/2000,0,5.09,28,10,
29/10/2000,0,4.74,29,11,
30/10/2000,0,5.64,28,11,
31/10/2000,0,5.78,28,12,
1/11/2000,0,5.05,29,13,
2/11/2000,0,5.01,29,13,
3/11/2000,1.8,6.69,28,12,
4/11/2000,0,2.41,28,11,
5/11/2000,0,4.51,28,12,
6/11/2000,0,3.94,27,10,
7/11/2000,0,5.19,28,10,
8/11/2000,0,4.23,27,9,
9/11/2000,0,4.82,27,7,
10/11/2000,0,4.87,27,6,
11/11/2000,0,4.86,28,9,
12/11/2000,0,5.26,28,9,
13/11/2000,0,4.91,30,9,
14/11/2000,0,4.07,27,8,
15/11/2000,0,4.78,27,11,
16/11/2000,0,4.57,27,12,
17/11/2000,0,6.13,29,9,
18/11/2000,0,5.35,27,9,
19/11/2000,0,4.38,26,10,
20/11/2000,0,4.28,23,8,
21/11/2000,0,4.52,20,11,
22/11/2000,0,4.6,25,10,
23/11/2000,0,3.51,27,9,
24/11/2000,0,4.62,28,11,
25/11/2000,0,4.87,28,10,
26/11/2000,2.1,4.32,28,12,
27/11/2000,5.4,2.52,27,12,
28/11/2000,0,3.68,26,12,
29/11/2000,0,4.57,27,10,
30/11/2000,0,5.13,25,10,
1/12/2000,0,4.87,25,9,
2/12/2000,0,5.37,25,8,
3/12/2000,0,3.94,26,9,
4/12/2000,0,4.32,24,8,
5/12/2000,0,2.62,22,10,
6/12/2000,0,4.33,24,5,
7/12/2000,0,4.03,24,6,
8/12/2000,0,2.92,25,6,
9/12/2000,0,2.97,26,6,
10/12/2000,0,3.58,26,6,
11/12/2000,0,3.74,26,7,
12/12/2000,0,4.62,26,6,
13/12/2000,0,4.11,26,6,
14/12/2000,0,3.84,28,6,
15/12/2000,0,3.82,28,7,
16/12/2000,0,4.36,10,6,
17/12/2000,0,4.06,21,7,
18/12/2000,0,3.89,26,5,
19/12/2000,0,4.02,20,5,
20/12/2000,0,2.85,22,2,
21/12/2000,0,3.82,25,4,
22/12/2000,0,2.98,24,4,
23/12/2000,0,3.86,23,8,
24/12/2000,0,3.88,24,6,
25/12/2000,0,3.84,25,8,
26/12/2000,0,4.47,26,7,
27/12/2000,0,4.03,24,8,
28/12/2000,0,2.99,24,7,
29/12/2000,0,2.97,22,7,
30/12/2000,0,3.06,20,5,
31/12/2000,0,2.91,23,8,
1/1/2001,0,2.79,24,7,
2/1/2001,0,4.19,24,6,
3/1/2001,0,2.89,20,7,
4/1/2001,0,2.47,23,6,
5/1/2001,0,4.31,26,5,
6/1/2001,0,4.11,24,7,
7/1/2001,0,3.31,25,7,
8/1/2001,0,2.33,25,7,
9/1/2001,3.1,4.79,21,6,
10/1/2001,0,3.42,23,7,
11/1/2001,0,4.08,26,7,
12/1/2001,0,3.5,26,9,
13/01/2001,0,3.17,26,8,
14/01/2001,0,4.76,26,7,
15/01/2001,0,3.36,27,7,
16/01/2001,0,4.89,26,6,
17/01/2001,0,4.02,26,8,
18/01/2001,0,3.84,26,8,
19/01/2001,0,4.32,24,6,
20/01/2001,0,4.63,21,4,
21/01/2001,0,4.11,25,4,
22/01/2001,0,3.26,23,3,
23/01/2001,0,5.11,27,3,
24/01/2001,0,5.05,27,7,
25/01/2001,0,4.95,24,6,
26/01/2001,0,4.64,27,7,
27/01/2001,0,3.55,26,9,
28/01/2001,0,5.44,26,9,
29/01/2001,0,3.68,24,9,
30/01/2001,0,5.32,26,7,
31/01/2001,0,3.7,27,8,
1/2/2001,0,5.12,27,9,
2/2/2001,0,4.36,23,9,
3/2/2001,0,5.88,22,7,
4/2/2001,0,4.81,24,8,
5/2/2001,0,4.56,24,7,
6/2/2001,0,5.47,24,7,
7/2/2001,0,5.14,25,7,
8/2/2001,0,5.76,26,8,
9/2/2001,0,5.02,27,7,
10/2/2001,0,4.87,28,8,
11/2/2001,0,5.06,29,9,
12/2/2001,0,4.94,29,10,
13/02/2001,0,5.17,29,9,
14/02/2001,0,4.86,29,9,
15/02/2001,0,5.34,29,9,
16/02/2001,0,5.78,28,9,
17/02/2001,0,5.49,25,9,
18/02/2001,0,5.57,27,8,
19/02/2001,0,4.92,28,5,
20/02/2001,0,4.06,29,7,
21/02/2001,0,4.91,30,6,
22/02/2001,0,4.84,29,8,
23/02/2001,0,4.23,28,9,
24/02/2001,0,4.26,29,9,
25/02/2001,0,6.45,28,9,
26/02/2001,1.1,6.03,26,10,
27/02/2001,0,4,28,10,
28/02/2001,0,5,28,9,
1/3/2001,2.1,3.96,21,9,
2/3/2001,4.2,3.26,19,8,
3/3/2001,0,4.87,26,8,
4/3/2001,0,4.79,27,7,
5/3/2001,0,5.32,19,5,
6/3/2001,0,4.82,20,5,
7/3/2001,0,5.85,27,9,
8/3/2001,0,5.42,28,7,
9/3/2001,0,6.41,29,7,
10/3/2001,0,6.56,29,9,
11/3/2001,0,6.41,30,9,
12/3/2001,0,6.92,29,10,
13/03/2001,0,6.83,30,9,
14/03/2001,0,8.77,30,11,
15/03/2001,0,8.03,31,11,
16/03/2001,0,7.07,30,12,
17/03/2001,0,6.19,28,9,
18/03/2001,0,6.71,28,9,
19/03/2001,0,6.98,28,10,
20/03/2001,0,5.32,27,10,
21/03/2001,0,7.07,28,8,
22/03/2001,0,7.06,30,9,
23/03/2001,0,7.17,30,9,
24/03/2001,0,6.79,30,11,
25/03/2001,0,6.79,29,12,
26/03/2001,0,6.31,29,10,
27/03/2001,0,6.47,29,10,
28/03/2001,0,7.29,30,10,
29/03/2001,0,6.15,29,10,
30/03/2001,0,7.02,30,10,
31/03/2001,0,6.64,30,10,
1/4/2001,0,6.42,32,10,
2/4/2001,0,6.79,32,10,
3/4/2001,0,7.15,32,10,
4/4/2001,0,6.97,33,10,
5/4/2001,0,7.11,33,13,
6/4/2001,0,6.75,34,14,
7/4/2001,0,6.72,34,14,
8/4/2001,0,7.43,34,12,
9/4/2001,0,8.45,34,13,
10/4/2001,0,8.57,33,13,
11/4/2001,0,7.68,33,13,
12/4/2001,0,8.15,33,14,
13/04/2001,0,7.88,33,13,
14/04/2001,0,6.88,34,14,
15/04/2001,0,7.14,33,13,
16/04/2001,0,6.95,34,14,
17/04/2001,0,6.72,33,13,
18/04/2001,0,4.62,26,14,
19/04/2001,8.5,7.21,32,10,
20/04/2001,0,6.27,32,13,
21/04/2001,0,7.13,33,15,
22/04/2001,0.5,8.56,32,13,
23/04/2001,0,8.22,33,14,
24/04/2001,0,5.82,28,13,
25/04/2001,3.9,5.93,25,14,
26/04/2001,2.6,4.49,28,13,
27/04/2001,0,7.06,29,12,
28/04/2001,0,6.52,29,12,
29/04/2001,0,5.76,29,11,
30/04/2001,0,6.24,30,13,
1/5/2001,0,6.19,31,14,
2/5/2001,0,7.37,30,13,
3/5/2001,0,6.34,29,14,
4/5/2001,0,5.86,29,13,
5/5/2001,0,5.18,29,15,
6/5/2001,0.3,7.24,33,16,
7/5/2001,2.1,5.22,31,14,
8/5/2001,0,5.82,30,13,
9/5/2001,0,5.87,29,13,
10/5/2001,0,7.19,29,13,
11/5/2001,0,5.49,28,13,
12/5/2001,0,6.39,27,12,
13/05/2001,0,6.36,26,11,
14/05/2001,3.4,7.18,27,12,
15/05/2001,0,5.99,30,11,
16/05/2001,0,5.9,30,14,
17/05/2001,0,5.87,32,14,
18/05/2001,0,5.94,33,14,
19/05/2001,0,6.3,35,15,
20/05/2001,0,8.87,35,16,
21/05/2001,0,7.06,34,17,
22/05/2001,21.2,8.57,28,15,
23/05/2001,1.9,7.95,30,14,
24/05/2001,0.2,8.03,30,14,
25/05/2001,0,8.77,31,12,
26/05/2001,0,6.27,30,12,
27/05/2001,0,8.78,30,12,
28/05/2001,0,7.98,32,13,
29/05/2001,0,8.78,34,14,
30/05/2001,0,8.14,34,15,
31/05/2001,0,7.89,31,16,
1/6/2001,0,6.81,32,16,
2/6/2001,3.6,8.37,30,16,
3/6/2001,3.6,7.97,30,14,
4/6/2001,0,8.34,32,15,
5/6/2001,16.8,7.7,32,15,
6/6/2001,0,8.01,30,14,
7/6/2001,0,8.06,31,14,
8/6/2001,0,8.14,32,16,
9/6/2001,10.9,8.75,31,16,
10/6/2001,11.7,7.58,30,16,
11/6/2001,5.4,6.46,29,14,
12/6/2001,0,5.9,29,14,
13/06/2001,0,6.41,30,14,
14/06/2001,23.2,1.92,31,15,
15/06/2001,26.3,4.7,29,14,
16/06/2001,0,5.63,28,14,
17/06/2001,0,4.91,26,14,
18/06/2001,0,5.43,26,12,
19/06/2001,0,6.09,27,12,
20/06/2001,5.4,2.02,29,13,
21/06/2001,14.1,1.55,29,14,
22/06/2001,23.8,5.26,29,13,
23/06/2001,0.3,4.28,26,14,
24/06/2001,0,4.38,28,14,
25/06/2001,0.8,6.44,28,14,
26/06/2001,0,6.65,28,14,
27/06/2001,0,7.19,27,14,
28/06/2001,0,9.22,29,14,
29/06/2001,6.7,10.41,30,14,
30/06/2001,0,6.85,30,14,
1/7/2001,0,7.26,29,14,
2/7/2001,3.1,9.63,29,13,
3/7/2001,0,6.61,27,14,
4/7/2001,0,6.05,27,14,
5/7/2001,0,6.46,29,14,
6/7/2001,0,6.57,29,14,
7/7/2001,0,6.26,30,14,
8/7/2001,21.1,7.72,30,13,
9/7/2001,5.2,6.33,29,13,
10/7/2001,0,6.69,30,13,
11/7/2001,0.2,6.52,31,14,
12/7/2001,0,6.43,30,14,
13/07/2001,0,6.56,31,14,
14/07/2001,0,5.87,31,14,
15/07/2001,0,4.27,31,14,
16/07/2001,0,5.17,30,14,
17/07/2001,0,6.67,31,14,
18/07/2001,0,5.87,31,14,
19/07/2001,5.6,6.38,30,15,
20/07/2001,0.2,6.46,29,15,
21/07/2001,0,6.04,28,15,
22/07/2001,7.3,6,30,14,
23/07/2001,32.4,5.57,30,14,
24/07/2001,2.8,4.72,28,13,
25/07/2001,3.9,4.62,28,15,
26/07/2001,56.5,5.17,28,14,
27/07/2001,1.4,5.48,28,14,
28/07/2001,0,3.14,29,13,
29/07/2001,2.3,6.21,29,14,
30/07/2001,0,5.89,28,14,
31/07/2001,0,4.54,29,14,
1/8/2001,0,6.24,29,14,
2/8/2001,0,4.33,29,14,
3/8/2001,46.2,2.18,27,14,
4/8/2001,0,5.81,28,14,
5/8/2001,0,6.04,29,14,
6/8/2001,0,6.7,29,14,
7/8/2001,0,7.34,29,15,
8/8/2001,0,7.62,29,15,
9/8/2001,0,7.25,29,15,
10/8/2001,0,7.86,30,15,
11/8/2001,0,8.96,29,15,
12/8/2001,0,5.32,29,15,
13/08/2001,0,7.6,29,15,
14/08/2001,0,6.87,29,15,
15/08/2001,0,6.51,29,15,
16/08/2001,1.6,8.62,30,14,
17/08/2001,0,6.92,32,14,
18/08/2001,0,7.06,32,14,
19/08/2001,0,5.92,32,13,
20/08/2001,0,7.37,32,14,
21/08/2001,0,7.66,30,14,
22/08/2001,0,7.89,28,14,
23/08/2001,0,7.18,27,15,
24/08/2001,0,6.95,28,15,
25/08/2001,0,5.66,25,15,
26/08/2001,23.8,8.58,25,15,
27/08/2001,1.8,6.49,26,14,
28/08/2001,12.4,6.07,27,16,
29/08/2001,28.7,6.94,29,14,
30/08/2001,4.1,4.75,28,14,
31/08/2001,2.3,7.4,26,15,
1/9/2001,4.5,10.57,26,15,
2/9/2001,11.7,12.68,29,15,
3/9/2001,0,10.67,30,15,
4/9/2001,0,6.41,29,15,
5/9/2001,0,5.84,28,14,
6/9/2001,0,5.97,29,14,
7/9/2001,7.9,7.11,30,14,
8/9/2001,4.7,7.21,28,14,
9/9/2001,0,6.39,29,12,
10/9/2001,0,6.05,25,14,
11/9/2001,0,5.73,28,14,
12/9/2001,0,5.78,28,14,
13/09/2001,0,5.66,30,14,
14/09/2001,0,5.66,30,14,
15/09/2001,0,6.78,30,14,
16/09/2001,0,6.35,29,14,
17/09/2001,0,6.44,29,14,
18/09/2001,0,4.92,28,14,
19/09/2001,9.2,5.66,29,14,
20/09/2001,0,6.47,30,14,
21/09/2001,0,5.93,29,12,
22/09/2001,0,6.11,25,14,
23/09/2001,0,6.27,24,14,
24/09/2001,0,6.37,25,15,
25/09/2001,0,6.71,20,14,
26/09/2001,0,6.65,25,13,
27/09/2001,0,6.11,26,14,
28/09/2001,0,4.66,26,14,
29/09/2001,0,5.19,26,13,
30/09/2001,0,3.96,25,9,
1/10/2001,0,4.41,24,9,
2/10/2001,1.9,5.48,26,9,
3/10/2001,19.2,4.09,20,9,
4/10/2001,0,5.2,25,13,
5/10/2001,0,5.49,26,11,
6/10/2001,0,5.77,29,12,
7/10/2001,0,6.35,27,11,
8/10/2001,0,7.15,28,12,
9/10/2001,0,6.91,29,12,
10/10/2001,0,4.74,28,12,
11/10/2001,0,5.16,28,12,
12/10/2001,0,5.39,28,12,
13/10/2001,0,4.51,27,12,
14/10/2001,32.8,5.46,23,12,
15/10/2001,0,5.24,26,11,
16/10/2001,0,5.64,21,11,
17/10/2001,0,5.27,21,9,
18/10/2001,0,5.87,27,13,
19/10/2001,0,6.15,28,9,
20/10/2001,0,6.17,29,8,
21/10/2001,0,7.17,28,8,
22/10/2001,0,5.65,29,6,
23/10/2001,0,5.32,29,8,
24/10/2001,0,5.05,30,8,
25/10/2001,0,6.53,28,10,
26/10/2001,0,4.82,24,13,
27/10/2001,0,5.6,19,13,
28/10/2001,0,4.38,21,8,
29/10/2001,0,4.54,20,8,
30/10/2001,0,5.22,22,0,
31/10/2001,0,4.22,20,7,
1/11/2001,0,4.4,24,10,
2/11/2001,0,4.64,26,10,
3/11/2001,0,3.85,24,9,
4/11/2001,0,4.94,26,8,
5/11/2001,0,4.08,20,8,
6/11/2001,0,4.68,24,9,
7/11/2001,0,4.59,21,9,
8/11/2001,0,4.65,23,7,
9/11/2001,0,4.42,25,7,
10/11/2001,0,5.24,24,8,
11/11/2001,0,4.19,25,9,
12/11/2001,0,4.69,24,9,
13/11/2001,0,4.34,25,9,
14/11/2001,0,4.41,26,8,
15/11/2001,0,5.08,26,9,
16/11/2001,6.5,4.99,22,9,
17/11/2001,0,4.34,25,12,
18/11/2001,0,5.21,23,10,
19/11/2001,0,5.59,26,9,
20/11/2001,0,3.82,23,7,
21/11/2001,1.1,6.06,26,6,
22/11/2001,0,4.42,25,9,
23/11/2001,0,4.67,24,8,
24/11/2001,0,4.67,26,6,
25/11/2001,0,4.35,28,5,
26/11/2001,0,4.47,27,6,
27/11/2001,0,4.49,25,6,
28/11/2001,0,4.94,26,5,
29/11/2001,0,4.03,27,6,
30/11/2001,0,4.44,26,6,
1/12/2001,0,4.64,26,8,
2/12/2001,0,4.66,27,8,
3/12/2001,0,4.86,24,7,
4/12/2001,0,5.27,26,9,
5/12/2001,0,4.19,27,9,
6/12/2001,0,4.83,24,9,
7/12/2001,0,4.83,26,8,
8/12/2001,0,4.76,26,6,
9/12/2001,0,4.14,24,7,
10/12/2001,0,3.92,26,7,
11/12/2001,0,3.97,26,9,
12/12/2001,0,3.86,27,9,
13/12/2001,0,4.21,27,9,
14/12/2001,0,5.87,26,9,
15/12/2001,0,4.84,26,9,
16/12/2001,0,4.87,26,9,
17/12/2001,0,4.78,27,9,
18/12/2001,0,4.66,27,9,
19/12/2001,0,4.81,26,9,
20/12/2001,0,3.47,26,9,
21/12/2001,0,4.69,27,6,
22/12/2001,0,2.63,27,7,
23/12/2001,1.1,5.45,27,8,
24/12/2001,1.7,3.67,26,9,
25/12/2001,0,3.96,23,9,
26/12/2001,0,3.09,20,5,
27/12/2001,0,2.84,23,5,
28/12/2001,0,3.2,21,3,
29/12/2001,0,2.9,23,3,
30/12/2001,0,3.83,25,5,
31/12/2001,0,3.21,25,5,
1/1/2002,0,2.85,25,5,
2/1/2002,0,4.39,24,5,
3/1/2002,0,5.08,24,4,
