COMISI?ÙN NACIONAL DEL AGUA,,,,,
COORDINACI?ÙN GENERAL DEL SERVICIO METEOROL?ÙGICO NACIONAL,,,,,
BASE DE DATOS CLIMATOL?ÙGICA NACIONAL ,,,,,
,,,,,
REGISTRO DIARIO HIST?ÙRICO,,,,,
EMISI?ÙN   : 21/03/2025 ,,,,,
,,,,,
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; ,,,,,
CON LA INFORMACI?ÙN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS ,,,,,
,,,,,
 ESTACI?ÙN  : 22057 ,,,,,
 NOMBRE    : PE?ÊAMILLER (DGE) ,,,,,
 ESTADO    : QUER?ÎTARO ,,,,,
 MUNICIPIO : PE?ÊAMILLER ,,,,,
 SITUACI?ÙN : OPERANDO ,,,,,
 CVE-OMM   :   ,,,,,
 LATITUD   : 21.05 ?? ,,,,,
 LONGITUD  : -99.8 ?? ,,,,,
 ALTITUD   : 1341 msnm ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FECHA,PRECIP,EVAP,TMAX,TMIN,
,(mm),(mm),(??C,),(??C)
7/12/2000,0,3.39,28,8,
8/12/2000,0,2.01,30,7,
9/12/2000,0,2.36,31,6,
10/12/2000,0,3.61,32,6,
11/12/2000,0,4.37,32,7,
12/12/2000,0,2.23,27,8,
13/12/2000,0,4.14,33,8,
14/12/2000,0,3.84,31,9,
15/12/2000,0,4.71,31,9,
16/12/2000,0,4.64,32,9,
17/12/2000,0,3,23,10,
18/12/2000,0,5.47,30,5,
19/12/2000,0,2.47,21,6,
20/12/2000,0,3.06,27,1,
21/12/2000,0,3.96,30,1,
22/12/2000,0,3.02,26,5,
23/12/2000,0,3.36,28,5,
24/12/2000,0,3.19,27,5,
25/12/2000,0,3.91,28,6,
26/12/2000,0,2.55,26,10,
27/12/2000,0,1.59,27,9,
28/12/2000,1.5,NULO,21,10,
29/12/2000,0,2.98,17,11,
30/12/2000,0,1.59,18,8,
31/12/2000,0,1.5,26,9,
1/1/2001,0,2.65,24,9,
2/1/2001,0,2.2,21,9,
3/1/2001,0,2.09,19,10,
4/1/2001,0,3.5,23,10,
5/1/2001,0,3.62,29,5,
6/1/2001,0,4.01,32,5,
7/1/2001,0,4.63,34,7,
